user_id,product_id,event_type,timestamp
0,114,purchase,2025-09-29 01:22:28
0,301,view,2025-05-16 02:14:37
0,193,cart,2025-06-18 20:33:28
0,375,purchase,2025-12-22 07:37:48
0,150,view,2025-04-24 17:49:52
0,90,purchase,2025-08-07 09:29:10
1,485,purchase,2025-12-02 00:35:44
2,200,purchase,2025-04-24 03:46:31
2,16,view,2025-12-06 04:58:32
2,308,cart,2025-06-25 16:31:48
2,471,purchase,2026-04-10 02:19:32
2,113,purchase,2025-07-06 13:01:49
2,289,view,2025-07-23 12:48:28
2,479,cart,2025-09-05 11:26:58
2,72,cart,2025-05-28 20:52:51
2,381,view,2025-07-10 16:25:36
2,121,cart,2025-07-20 06:01:43
3,85,purchase,2025-06-30 00:12:40
3,453,view,2026-04-10 09:03:44
3,420,purchase,2025-12-16 01:44:41
3,343,purchase,2026-04-07 08:53:25
3,373,cart,2025-12-03 21:43:32
3,228,view,2026-04-09 20:28:17
4,107,view,2025-11-11 04:00:29
4,354,view,2025-06-07 00:20:31
4,179,cart,2025-08-18 05:34:53
4,402,view,2026-02-11 14:27:43
4,368,view,2025-12-11 02:07:34
5,197,cart,2025-11-02 05:24:03
6,496,view,2026-03-28 08:50:57
6,452,cart,2025-05-23 23:05:18
6,252,cart,2025-11-28 21:56:41
6,179,purchase,2025-11-30 13:19:33
6,192,view,2026-03-07 02:28:29
6,424,cart,2025-04-28 19:52:30
6,403,purchase,2025-04-19 17:08:54
7,83,cart,2026-02-09 09:19:15
7,37,view,2025-07-20 04:57:52
7,150,view,2026-04-13 14:58:21
7,163,cart,2025-11-01 01:48:23
8,37,cart,2026-03-19 08:51:21
8,87,cart,2025-09-18 17:21:30
9,374,view,2025-06-01 06:59:46
9,280,view,2026-03-31 09:32:34
9,173,purchase,2025-08-12 00:43:08
10,457,cart,2025-11-22 21:36:02
10,360,view,2025-12-06 09:37:18
10,220,purchase,2025-07-22 01:48:40
10,84,purchase,2025-07-28 08:39:26
10,455,cart,2025-07-10 19:15:23
10,80,view,2025-09-23 18:41:34
10,51,cart,2025-11-22 10:01:05
10,105,view,2025-05-09 03:24:46
10,209,purchase,2025-07-17 06:07:14
10,283,purchase,2026-03-23 20:03:35
11,135,purchase,2025-08-16 22:01:25
